20:17:31 | INFO | train | [1880/100000] loss=0.0640 lr_core=4.40e-05 lr_vlm=4.40e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:32 | INFO | train | [1900/100000] loss=0.0976 lr_core=4.50e-05 lr_vlm=4.50e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:34 | INFO | train | [1920/100000] loss=0.0404 lr_core=4.60e-05 lr_vlm=4.60e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:36 | INFO | train | [1940/100000] loss=0.0979 lr_core=4.70e-05 lr_vlm=4.70e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:37 | INFO | train | [1960/100000] loss=0.0905 lr_core=4.80e-05 lr_vlm=4.80e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:39 | INFO | train | [1980/100000] loss=0.0832 lr_core=4.90e-05 lr_vlm=4.90e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:41 | INFO | train | [2000/100000] loss=0.0618 lr_core=5.00e-05 lr_vlm=5.00e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:43 | INFO | train | [2020/100000] loss=0.0529 lr_core=5.10e-05 lr_vlm=5.10e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:44 | INFO | train | [2040/100000] loss=0.1012 lr_core=5.20e-05 lr_vlm=5.20e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:46 | INFO | train | [2060/100000] loss=0.0507 lr_core=5.30e-05 lr_vlm=5.30e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:48 | INFO | train | [2080/100000] loss=0.0546 lr_core=5.40e-05 lr_vlm=5.40e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:50 | INFO | train | [2100/100000] loss=0.1440 lr_core=5.50e-05 lr_vlm=5.50e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:51 | INFO | train | [2120/100000] loss=0.0500 lr_core=5.60e-05 lr_vlm=5.60e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:53 | INFO | train | [2140/100000] loss=0.0391 lr_core=5.70e-05 lr_vlm=5.70e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:55 | INFO | train | [2160/100000] loss=0.0845 lr_core=5.80e-05 lr_vlm=5.80e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:57 | INFO | train | [2180/100000] loss=0.1199 lr_core=5.90e-05 lr_vlm=5.90e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:58 | INFO | train | [2200/100000] loss=0.0644 lr_core=6.00e-05 lr_vlm=6.00e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:00 | INFO | train | [2220/100000] loss=0.2059 lr_core=6.10e-05 lr_vlm=6.10e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:02 | INFO | train | [2240/100000] loss=0.0572 lr_core=6.20e-05 lr_vlm=6.20e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:04 | INFO | train | [2260/100000] loss=0.0648 lr_core=6.30e-05 lr_vlm=6.30e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:05 | INFO | train | [2280/100000] loss=0.0752 lr_core=6.40e-05 lr_vlm=6.40e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:07 | INFO | train | [2300/100000] loss=0.1303 lr_core=6.50e-05 lr_vlm=6.50e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:09 | INFO | train | [2320/100000] loss=0.0364 lr_core=6.60e-05 lr_vlm=6.60e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:11 | INFO | train | [2340/100000] loss=0.0521 lr_core=6.70e-05 lr_vlm=6.70e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:12 | INFO | train | [2360/100000] loss=0.0708 lr_core=6.80e-05 lr_vlm=6.80e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:14 | INFO | train | [2380/100000] loss=0.0901 lr_core=6.90e-05 lr_vlm=6.90e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:16 | INFO | train | [2400/100000] loss=0.1098 lr_core=7.00e-05 lr_vlm=7.00e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:18 | INFO | train | [2420/100000] loss=0.0491 lr_core=7.10e-05 lr_vlm=7.10e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:19 | INFO | train | [2440/100000] loss=0.0443 lr_core=7.20e-05 lr_vlm=7.20e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:21 | INFO | train | [2460/100000] loss=0.0599 lr_core=7.30e-05 lr_vlm=7.30e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:23 | INFO | train | [2480/100000] loss=0.1432 lr_core=7.40e-05 lr_vlm=7.40e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:24 | INFO | train | [2500/100000] loss=0.0514 lr_core=7.50e-05 lr_vlm=7.50e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:26 | INFO | train | [2520/100000] loss=0.0348 lr_core=7.60e-05 lr_vlm=7.60e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:28 | INFO | train | [2540/100000] loss=0.0603 lr_core=7.70e-05 lr_vlm=7.70e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:30 | INFO | train | [2560/100000] loss=0.0629 lr_core=7.80e-05 lr_vlm=7.80e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:31 | INFO | train | [2580/100000] loss=0.0951 lr_core=7.90e-05 lr_vlm=7.90e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:33 | INFO | train | [2600/100000] loss=0.1157 lr_core=8.00e-05 lr_vlm=8.00e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:35 | INFO | train | [2620/100000] loss=0.0586 lr_core=8.10e-05 lr_vlm=8.10e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:36 | INFO | train | [2640/100000] loss=0.1119 lr_core=8.20e-05 lr_vlm=8.20e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:38 | INFO | train | [2660/100000] loss=0.0339 lr_core=8.30e-05 lr_vlm=8.30e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:40 | INFO | train | [2680/100000] loss=0.0537 lr_core=8.40e-05 lr_vlm=8.40e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:41 | INFO | train | [2700/100000] loss=0.0870 lr_core=8.50e-05 lr_vlm=8.50e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:43 | INFO | train | [2720/100000] loss=0.1026 lr_core=8.60e-05 lr_vlm=8.60e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:45 | INFO | train | [2740/100000] loss=0.0436 lr_core=8.70e-05 lr_vlm=8.70e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:47 | INFO | train | [2760/100000] loss=0.0504 lr_core=8.80e-05 lr_vlm=8.80e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:48 | INFO | train | [2780/100000] loss=0.0633 lr_core=8.90e-05 lr_vlm=8.90e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:50 | INFO | train | [2800/100000] loss=0.0419 lr_core=9.00e-05 lr_vlm=9.00e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:52 | INFO | train | [2820/100000] loss=0.0804 lr_core=9.10e-05 lr_vlm=9.10e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:18:53 | INFO | train | [2840/100000] loss=0.0624 lr_core=9.20e-05 lr_vlm=9.20e-05 (0.08s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
