15:58:27 | INFO | peft_train | [2080/200000] loss=0.0460 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:30 | INFO | peft_train | [2100/200000] loss=0.0845 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:32 | INFO | peft_train | [2120/200000] loss=0.0428 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:35 | INFO | peft_train | [2140/200000] loss=0.0834 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:37 | INFO | peft_train | [2160/200000] loss=0.0581 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:39 | INFO | peft_train | [2180/200000] loss=0.0435 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:42 | INFO | peft_train | [2200/200000] loss=0.0481 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:44 | INFO | peft_train | [2220/200000] loss=0.0730 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:47 | INFO | peft_train | [2240/200000] loss=0.0756 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:49 | INFO | peft_train | [2260/200000] loss=0.0447 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:52 | INFO | peft_train | [2280/200000] loss=0.0573 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:54 | INFO | peft_train | [2300/200000] loss=0.0530 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:56 | INFO | peft_train | [2320/200000] loss=0.0472 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:59 | INFO | peft_train | [2340/200000] loss=0.0747 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:01 | INFO | peft_train | [2360/200000] loss=0.0381 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:04 | INFO | peft_train | [2380/200000] loss=0.0455 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.13s/it)
15:59:06 | INFO | peft_train | [2400/200000] loss=0.0430 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:09 | INFO | peft_train | [2420/200000] loss=0.0438 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:11 | INFO | peft_train | [2440/200000] loss=0.0400 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:13 | INFO | peft_train | [2460/200000] loss=0.0424 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:16 | INFO | peft_train | [2480/200000] loss=0.0396 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:18 | INFO | peft_train | [2500/200000] loss=0.0400 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:21 | INFO | peft_train | [2520/200000] loss=0.0422 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:23 | INFO | peft_train | [2540/200000] loss=0.0420 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:25 | INFO | peft_train | [2560/200000] loss=0.0384 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:28 | INFO | peft_train | [2580/200000] loss=0.0361 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:30 | INFO | peft_train | [2600/200000] loss=0.0406 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:33 | INFO | peft_train | [2620/200000] loss=0.0442 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:35 | INFO | peft_train | [2640/200000] loss=0.0473 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:37 | INFO | peft_train | [2660/200000] loss=0.0594 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:40 | INFO | peft_train | [2680/200000] loss=0.0496 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:42 | INFO | peft_train | [2700/200000] loss=0.0437 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:45 | INFO | peft_train | [2720/200000] loss=0.0534 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:47 | INFO | peft_train | [2740/200000] loss=0.0462 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:49 | INFO | peft_train | [2760/200000] loss=0.0531 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:52 | INFO | peft_train | [2780/200000] loss=0.0407 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:54 | INFO | peft_train | [2800/200000] loss=0.0490 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:57 | INFO | peft_train | [2820/200000] loss=0.0372 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:59:59 | INFO | peft_train | [2840/200000] loss=0.0425 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:01 | INFO | peft_train | [2860/200000] loss=0.0504 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:04 | INFO | peft_train | [2880/200000] loss=0.0385 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:06 | INFO | peft_train | [2900/200000] loss=0.0402 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:08 | INFO | peft_train | [2920/200000] loss=0.0440 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:11 | INFO | peft_train | [2940/200000] loss=0.0442 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:13 | INFO | peft_train | [2960/200000] loss=0.0454 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:15 | INFO | peft_train | [2980/200000] loss=0.0440 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:18 | INFO | peft_train | [3000/200000] loss=0.0442 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:20 | INFO | peft_train | [3020/200000] loss=0.0458 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:22 | INFO | peft_train | [3040/200000] loss=0.0457 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:25 | INFO | peft_train | [3060/200000] loss=0.0463 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:27 | INFO | peft_train | [3080/200000] loss=0.0648 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:29 | INFO | peft_train | [3100/200000] loss=0.0409 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:32 | INFO | peft_train | [3120/200000] loss=0.0411 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:34 | INFO | peft_train | [3140/200000] loss=0.0428 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:36 | INFO | peft_train | [3160/200000] loss=0.0395 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:39 | INFO | peft_train | [3180/200000] loss=0.0380 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:41 | INFO | peft_train | [3200/200000] loss=0.0401 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:43 | INFO | peft_train | [3220/200000] loss=0.0390 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:46 | INFO | peft_train | [3240/200000] loss=0.0449 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:48 | INFO | peft_train | [3260/200000] loss=0.0424 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:50 | INFO | peft_train | [3280/200000] loss=0.0467 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:53 | INFO | peft_train | [3300/200000] loss=0.0415 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:55 | INFO | peft_train | [3320/200000] loss=0.0400 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:00:57 | INFO | peft_train | [3340/200000] loss=0.0473 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:00 | INFO | peft_train | [3360/200000] loss=0.0362 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:02 | INFO | peft_train | [3380/200000] loss=0.0383 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
16:01:04 | INFO | peft_train | [3400/200000] loss=0.0510 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
