19:01:51 | INFO | peft_train | [2360/40000] loss=0.0321 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:01:54 | INFO | peft_train | [2380/40000] loss=0.0367 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.13s/it)
19:01:56 | INFO | peft_train | [2400/40000] loss=0.0481 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:01:59 | INFO | peft_train | [2420/40000] loss=0.0314 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:02:01 | INFO | peft_train | [2440/40000] loss=0.0357 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:02:04 | INFO | peft_train | [2460/40000] loss=0.0405 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:02:06 | INFO | peft_train | [2480/40000] loss=0.0448 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:02:09 | INFO | peft_train | [2500/40000] loss=0.0942 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:02:11 | INFO | peft_train | [2520/40000] loss=0.0313 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:02:13 | INFO | peft_train | [2540/40000] loss=0.0308 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:16 | INFO | peft_train | [2560/40000] loss=0.0294 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:18 | INFO | peft_train | [2580/40000] loss=0.0351 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:21 | INFO | peft_train | [2600/40000] loss=0.0345 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:23 | INFO | peft_train | [2620/40000] loss=0.0320 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:26 | INFO | peft_train | [2640/40000] loss=0.0364 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:28 | INFO | peft_train | [2660/40000] loss=0.0287 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:31 | INFO | peft_train | [2680/40000] loss=0.0311 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
19:02:33 | INFO | peft_train | [2700/40000] loss=0.0339 lr_core=4.95e-04 lr_vlm=4.95e-04 (0.12s/it)
